,Features.ElectricalEquipment.ShorePowerInlet,Features.Electronics.Depthsounder,Features.Electronics.Radar,Features.Electronics.Plotter,Features.Electronics.Compas,Features.Electronics.Gps,Features.InsideEquipment.ElectricBilgePump,Features.InsideEquipment.Oven,Features.InsideEquipment.MarineHead,Features.InsideEquipment.Heating,Features.InsideEquipment.HotWater,Features.InsideEquipment.Refrigerator,Features.InsideEquipment.BatteryCharger,Features.OutsideEquipment.TeakCockpit,Features.OutsideEquipment.RadarReflector,Features.OutsideEquipment.Tender,Features.OutsideEquipment.CockpitCushions,Features.Rigging.SteeringWheel,Features.Sails.StormJib,Features.Sails.BattenedMainsail,Features.Sails.FurlingGenoa,Features.Sails.Trisail,Features.Electronics.Log-speedometer,Features.Electronics.WindSpeedAndDirection,Features.Electronics.Autopilot,Features.Electronics.Radio,Features.Electronics.CockpitSpeakers,Features.Electronics.Vhf,Features.InsideEquipment.BowThruster,Features.InsideEquipment.ManualBilgePump,Features.InsideEquipment.MicrowaveOven,Features.InsideEquipment.AirConditioning,Features.InsideEquipment.ElectricHead,Features.OutsideEquipment.CockpitShower,Features.OutsideEquipment.CockpitTable,Features.OutsideEquipment.SwimmingLadder,Features.Sails.FurlingMainsail,Features.Sails.AsymmetricSpinnaker,Features.Electronics.Repeater(s),Features.ElectricalEquipment.Generator,Features.ElectricalEquipment.Inverter,Features.Electronics.NavigationCenter,Features.InsideEquipment.DeepFreezer,Features.OutsideEquipment.OutboardEngineBrackets,Features.OutsideEquipment.Davit(s),Features.Sails.FullyBattenedMainsail,Features.Electronics.CdPlayer,Features.Rigging.ElectricWinch,Features.Electronics.TvSet,Features.Electronics.DvdPlayer,Features.InsideEquipment.FreshWaterMaker,Features.Rigging.SpinnakerPole,Features.OutsideEquipment.TeakSidedecks,Features.AdditionalEquipment.RoadTrailer,Features.Sails.Spinnaker,Features.Electronics.RadarDetector,Features.Electronics.Computer,Features.Electronics.Vcr,Features.Sails.GennakerCruisingSpinnaker,Features.InsideEquipment.SeaWaterPump,Features.OutsideEquipment.SolarPanel,Features.OutsideEquipment.Liferaft,Features.Rigging.Tiller,Features.Sails.Genoa,Features.InsideEquipment.SternThruster,Features.InsideEquipment.Dishwasher,Features.InsideEquipment.WashingMachine,Features.OutsideEquipment.Gangway,Features.OutsideEquipment.HydraulicGangway,Features.OutsideEquipment.WindGenerator,Features.InsideEquipment.Seakeeper,Features.InsideEquipment.AirCompressor,Features.InsideEquipment.ChemicalHead,Features.Rigging.HydraulicWinch,Features.AdditionalEquipment.LaunchingTrailer,Features.AdditionalEquipment.BeachingLegs
count,564,546,275,487,574,547,517,491,291,247,510,582,538,321,87,176,373,519,70,145,443,22,508,504,555,423,397,567,246,436,243,273,331,448,480,519,181,104,230,242,341,326,298,152,177,312,181,280,176,80,165,75,126,22,74,78,49,18,133,164,171,176,87,143,38,106,103,108,36,24,23,23,21,35,2,1
unique,17,23,19,42,14,25,13,33,16,17,13,35,32,9,2,18,7,27,10,10,35,5,23,23,49,24,7,47,18,10,5,20,15,11,17,14,15,6,11,31,34,10,9,3,11,33,6,20,12,3,19,9,1,2,9,4,1,1,16,2,21,14,5,33,3,3,4,3,2,3,1,1,1,4,1,1
top,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
freq,545,495,253,426,558,516,504,447,272,222,494,545,499,313,86,155,367,477,61,136,400,18,464,459,482,389,390,510,228,426,239,253,316,438,457,505,167,99,219,208,305,315,287,150,166,274,176,259,165,78,147,67,126,21,66,75,49,18,118,163,151,161,81,109,36,101,100,106,35,22,23,23,21,31,2,1
