,Basics.Year,Basics.Make,Basics.Model,Basics.Class,Basics.Length (ft),Basics.FuelType,Basics.HullMaterial,Basics.OfferedBy,Propulsion.EngineMake,Propulsion.TotalPower (hp),Propulsion.EngineType,Propulsion.FuelType,Specifications.Dimensions.LengthOverall (ft),Specifications.Dimensions.Beam (ft),Specifications.Accommodations.DoubleBerths,Specifications.Accommodations.Cabins,Specifications.Accommodations.Heads,Basics.HullShape,Basics.HullWarranty (years),Propulsion.EngineModel,Propulsion.EngineYear,Propulsion.EngineHours,Propulsion.DriveType,Propulsion.PropellerType,Specifications.Speed&Distance.CruisingSpeed (kn),Specifications.Speed&Distance.MaxSpeed (kn),Specifications.Dimensions.LengthOnDeck (ft),Specifications.Dimensions.MaxDra (ft),Specifications.Dimensions.CabinHeadroom (ft),Specifications.Dimensions.LengthAtWaterline (ft),Specifications.Miscellaneous.Windlass,Price,Propulsion.PropellerMaterial,Specifications.Dimensions.MaxBridgeClearance (ft),Specifications.Weights.DryWeight (Lb),Specifications.Accommodations.SingleBerths,Propulsion.FoldingPropeller,Features.ElectricalEquipment.ShorePowerInlet,Features.Electronics.Depthsounder,Features.Electronics.Radar,Features.Electronics.Plotter,Features.Electronics.Compas,Features.Electronics.Gps,Features.InsideEquipment.ElectricBilgePump,Features.InsideEquipment.Oven,Features.InsideEquipment.MarineHead,Features.InsideEquipment.Heating,Features.InsideEquipment.HotWater,Features.InsideEquipment.Refrigerator,Features.InsideEquipment.BatteryCharger,Features.OutsideEquipment.TeakCockpit,Features.OutsideEquipment.RadarReflector,Features.OutsideEquipment.Tender,Features.OutsideEquipment.CockpitCushions,Features.Rigging.SteeringWheel,Features.Sails.StormJib,Features.Sails.BattenedMainsail,Features.Sails.FurlingGenoa,Features.Sails.Trisail,Specifications.Accommodations.TwinBerths,Features.Electronics.Log-speedometer,Features.Electronics.WindSpeedAndDirection,Features.Electronics.Autopilot,Features.Electronics.Radio,Features.Electronics.CockpitSpeakers,Features.Electronics.Vhf,Features.InsideEquipment.BowThruster,Features.InsideEquipment.ManualBilgePump,Features.InsideEquipment.MicrowaveOven,Features.InsideEquipment.AirConditioning,Features.InsideEquipment.ElectricHead,Features.OutsideEquipment.CockpitShower,Features.OutsideEquipment.CockpitTable,Features.OutsideEquipment.SwimmingLadder,Features.Sails.FurlingMainsail,Features.Sails.AsymmetricSpinnaker,Features.Electronics.Repeater(s),Features.ElectricalEquipment.Generator,Features.ElectricalEquipment.Inverter,Features.Electronics.NavigationCenter,Features.InsideEquipment.DeepFreezer,Features.OutsideEquipment.OutboardEngineBrackets,Features.OutsideEquipment.Davit(s),Features.Sails.FullyBattenedMainsail,Specifications.Miscellaneous.ElectricalCircuit (V),Features.Electronics.CdPlayer,Features.Rigging.ElectricWinch,Features.Electronics.TvSet,Features.Electronics.DvdPlayer,Features.InsideEquipment.FreshWaterMaker,Features.Rigging.SpinnakerPole,Features.OutsideEquipment.TeakSidedecks,Features.AdditionalEquipment.RoadTrailer,Features.Sails.Spinnaker,Specifications.Miscellaneous.SeatingCapacity,Features.Electronics.RadarDetector,Features.Electronics.Computer,Features.Electronics.Vcr,Features.Sails.GennakerCruisingSpinnaker,Features.InsideEquipment.SeaWaterPump,Features.OutsideEquipment.SolarPanel,Features.OutsideEquipment.Liferaft,Features.Rigging.Tiller,Features.Sails.Genoa,Features.InsideEquipment.SternThruster,Features.InsideEquipment.Dishwasher,Features.InsideEquipment.WashingMachine,Features.OutsideEquipment.Gangway,Features.OutsideEquipment.HydraulicGangway,Specifications.Speed&Distance.Range (nm),Specifications.Dimensions.Freeboard (ft),Features.OutsideEquipment.WindGenerator,Features.InsideEquipment.Seakeeper,Features.InsideEquipment.AirCompressor,Features.InsideEquipment.ChemicalHead,Specifications.Miscellaneous.LiferaftCapacity,Features.Rigging.HydraulicWinch,Propulsion.RopeCutter,Specifications.Miscellaneous.DeadriseAtTransom (deg),Features.AdditionalEquipment.LaunchingTrailer,Features.AdditionalEquipment.BeachingLegs,Make-Model
578,2024,Excess,15,Catamaran,45.41,Diesel,Composite,Azur Catamarans Yachts,Volvo Penta,60.0,Inboard,Diesel,45.73,25.26,4.0,5.0,5.0,Catamaran,0,D2,2024.0,1121.918781725888,Sail Drive,3.0,8.5,7.0,43.39205882352945,4.05,9.348779342722995,37.76,Electric Windlass,1298666,Bronze,63.21807909604506,30464.0,1.0,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True,False,1.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,220.0,False,False,True,False,True,True,False,False,False,8.62295081967213,False,False,False,True,False,True,True,False,False,False,False,True,True,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
579,2023,Excess,15,Cruiser,45.73,Diesel,Fiberglass,GR Sailing,Volvo Penta,54.0,Inboard,Diesel,45.73,25.26,3.166666666666667,4.0,5.0,Catamaran,0,D2,2023.6,1121.918781725888,Sail Drive,3.0,8.5,7.0,43.39205882352945,3.94,9.348779342722995,37.76,Electric Windlass,493270,Bronze,63.21807909604506,30464.0,1.0,False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,False,1.666666666666667,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,220.0,False,True,True,False,True,False,False,False,False,8.62295081967213,False,False,False,False,True,True,True,False,False,False,False,False,True,True,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
580,2023,Excess,15,Catamaran,61.58,Diesel,Fiberglass,Asia Yachting - Hong Kong,YANMAR,110.0,Inboard,Diesel,66.08,31.33,2.0,4.0,4.0,Catamaran,0,4JH,2023.0,1121.918781725888,Sail Drive,3.0,9.0,7.0,43.39205882352945,4.05,9.348779342722995,37.76,Electric Windlass,3190536,Bronze,63.21807909604506,30464.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,220.0,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
581,2024,Excess,15,Catamaran,41.27,Diesel,Composite,Azur Catamarans Yachts,Volvo Penta,30.0,Inboard,Diesel,41.27,23.62,3.0,4.0,3.0,Catamaran,0,D2,2024.0,1121.918781725888,Sail Drive,3.0,8.5,7.0,43.39205882352945,4.05,9.348779342722995,37.76,Electric Windlass,771592,Bronze,63.21807909604506,30464.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,220.0,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
582,2025,Excess,15,Catamaran,45.73,Diesel,Fiberglass,Marina Estrella S.L.,Volvo,54.0,Inboard,Diesel,46.09,24.93,3.0,4.0,3.857142857142857,Catamaran,0,D2,2023.6,1121.918781725888,Sail Drive,3.0,8.5,7.0,43.39205882352945,4.05,9.348779342722995,37.76,Electric Windlass,836580,Bronze,63.21807909604506,30464.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,220.0,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
583,2023,Excess,15,Other,38.39,Other,Other,Race Nautica Marine,Volvo Penta,30.0,Inboard,Other,38.39,21.75,4.0,4.0,4.0,Catamaran,0,VOLVO D1 30 CV,2023.6,1121.918781725888,Sail Drive,3.0,8.0,7.0,43.39205882352945,3.94,9.348779342722995,37.76,Electric Windlass,584916,Bronze,63.21807909604506,30464.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.666666666666667,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,220.0,False,True,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
584,2023,Excess,15,Catamaran,44.19,Diesel,Fiberglass,Canet Boat Plaisance,Volvo,40.0,Inboard,Diesel,44.16,24.57,3.0,3.0,3.0,Catamaran,0,N4 60cv,2024.0,1121.918781725888,Sail Drive,3.0,8.5,7.0,43.39205882352945,4.27,9.348779342722995,37.76,Electric Windlass,837672,Bronze,63.21807909604506,30464.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,220.0,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
585,2023,Excess,15,Catamaran,41.27,Diesel,Fiberglass,Yacht-Match Group,Fountaine Pajot,54.0,Inboard,Diesel,41.27,23.62,3.166666666666667,4.0,3.0,Catamaran,0,Astrea 42,2023.0,1121.918781725888,Sail Drive,3.0,8.5,7.0,43.39205882352945,4.05,9.348779342722995,37.76,Electric Windlass,685475,Bronze,63.21807909604506,30464.0,1.0,False,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,1.666666666666667,True,True,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,220.0,False,True,False,False,False,False,False,False,False,8.62295081967213,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-15
586,2023,Excess,EXCESS 11,Catamaran,45.73,Diesel,Fiberglass,Asia Yachting - Hong Kong,Volvo Penta,60.0,Inboard,Diesel,45.73,25.26,3.0,3.0,3.0,Catamaran,3,D2,2022.0,1121.918781725888,Sail Drive,3.0,7.5,8.5,43.39205882352945,3.94,9.348779342722995,39.67258029978575,Electric Windlass,1118056,Bronze,63.21807909604506,39904.0,2.872521246458923,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,10.0,False,False,22,False,False,Excess-EXCESS 11
587,2025,Excess,EXCESS 11,Catamaran,63.94,Diesel,Fiberglass,Marina Estrella S.L.,Volvo,100.0,Inboard,Diesel,48.84999999999999,32.28,3.0,3.0,3.5,Catamaran,0,D2,2018.0,1121.918781725888,Sail Drive,3.0,7.5,8.5,43.39205882352945,5.58,9.348779342722995,39.67258029978575,Electric Windlass,3034205,Bronze,63.21807909604506,39904.0,2.872521246458923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,10.0,False,False,22,False,False,Excess-EXCESS 11
588,2025,Excess,EXCESS 11,Multi-Hull,51.97,Diesel,Fiberglass,Sailpro.ch,Volvo,80.0,Inboard,Diesel,51.97,26.51,3.0,3.0,4.0,Catamaran,0,D2,2020.0,1121.918781725888,Sail Drive,3.0,7.5,8.5,43.39205882352945,4.27,9.348779342722995,39.67258029978575,Electric Windlass,1033499,Bronze,63.21807909604506,39904.0,2.872521246458923,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,2.03960396039604,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,83.00632911392405,True,False,True,True,True,False,False,False,False,8.62295081967213,True,True,True,True,True,True,True,False,False,False,True,True,False,False,1947.4,9.614166666666668,False,False,False,False,10.0,False,False,22,False,False,Excess-EXCESS 11
589,2021,Excess,EXCESS 14,Catamaran,41.3,Diesel,Fiberglass,Navigare Yachting,YANMAR,30.0,Inboard,Diesel,41.33,23.67,2.79673590504451,4.0,4.0,Monohull,0,4JH57,2016.507913669065,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,8.956594153636974,9.348779342722995,39.67258029978575,Electric Windlass,650963,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-EXCESS 14
590,2023,Excess,EXCESS 14,Catamaran,61.61,Diesel,Other,Valmar Yachts,YANMAR,30.0,Inboard,Diesel,61.61,3103.67,2.79673590504451,4.0,6.0,Monohull,0,4JH57,2016.507913669065,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,8.956594153636974,9.348779342722995,39.67258029978575,Electric Windlass,2172413,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Excess-EXCESS 14
591,2023,Fairlie,55,Catamaran,44.13,Diesel,Composite,Azur Catamarans Yachts,VOLVO PENTA,50.0,Inboard,Diesel,44.13,24.77,3.0,3.0,3.0,Catamaran,0,D2,2023.0,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,8.956594153636974,9.348779342722995,39.67258029978575,Electric Windlass,1130220,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,2.03960396039604,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,12.0,False,False,False,False,True,False,False,False,False,8.62295081967213,False,False,False,False,True,True,True,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Fairlie-55
